refactored_code_name,purpose,original_script,original_sha256,current_sha256,status,configuration
src/00_preprocessing/mosaic_geotiffs.py,GeoTIFF mosaic / dtype harmonisation,compose.py,1d40a779d971ca142b2e705bf8ae77cbf4686f3918e8aa0c915efea4f10bb02a,1800874cddf66becb8bf515c265b7f653a6aaaabf35a4f113d433064b5b274ff,retained_latest_unique,
src/01_vegetation_expansion/calculate_three_year_endpoint_change.py,Three-year-window endpoint-change calculation for UP and sensitivity products,calculate_three_year_endpoint_change(1).py,a50ee64bbe329428de7dadd63d6ad393ff363602614c7ed688b3569beda0e38d,a50ee64bbe329428de7dadd63d6ad393ff363602614c7ed688b3569beda0e38d,retained_latest_unique,
src/01_vegetation_expansion/compute_hex_trends.py,Hex-grid annual vegetated fraction + MK/Sen trend workflow using axial hexagons,NDVI_trend_hex_WORLD_FINAL_AXIAL.py,8d794083045fd201a73460fe953cb62c3976c59be5441e5676a987ec579290af,176fbd39b240faad1f2b05d66bfaca69c1ac2f038fcb0441617eb0772046c75a,refactored_reusable_engine,configs/vegetation/*.yaml
src/01_vegetation_expansion/diagnostics/check_hex_grid_vegetation_fraction.py,Single-year axial hex vegetation-fraction extraction and map,visual_gewang_shp_csv.py,ca3dbd9bf6d0640d75c9c1b9bd2d0b650f4b8e97e1512fa2340b986baa63090d,ca3dbd9bf6d0640d75c9c1b9bd2d0b650f4b8e97e1512fa2340b986baa63090d,renamed_latest_unique,
src/01_vegetation_expansion/gee/export_annual_max_ndvi_partition.js,Google Earth Engine export of annual maximum NDVI for one dryland partition after merging MOD13A1 Terra and MYD13A1 Aqua collections,GEE pasted source: annual maximum NDVI from merged MODIS Terra + Aqua for drylands_part_21,3c6a68aa66e916016d05353041a01736f8e337ef7a3fa665171db93f101101f6,3c6a68aa66e916016d05353041a01736f8e337ef7a3fa665171db93f101101f6,retained_latest_unique,
src/01_vegetation_expansion/threshold_rasters.py,Threshold vegetation-index rasters and reproject to EPSG:8857,TIF_yuzhi.py,3da799440d975b0f920215597c63e0945b3473729c09bb261ba4138b7a05b296,12b00b7a70d8a5036c1759eb4d05c035d0d8c35cdb26deeb76d40e3fb64a7ff2,refactored_reusable_engine,configs/vegetation/*.yaml
src/02_landcover_context/build_process_context_table.py,"Build the UP process-context table by combining land-cover transition classes, attribution outputs and hydroclimatic driver trends",process_typing_landtransition_v2_up_fiveclass_plus_flag.py,46f5d5f6333d5c4f8e2141a435483d1758a9fae22b109b08339f5920637db012,18295e0bdceb42834abba7f57c9927cd5baf7b005d04887a2167bdbc938c4872,renamed_latest_unique,
src/03_hydroclimate/gee/compute_w90_precipitation_startdoy.js,"Google Earth Engine computation of annual per-pixel wettest-90d precipitation total (P90) and 1-based startDOY using prefix sums, exported by global tiles",GEE pasted source: ERA5-Land W90 array/cumsum P90 + startDOY tile export,f91fe307b75f5aff6dd4f2a572b2e1514a787c52f1572fb10637647f98a31e30,f91fe307b75f5aff6dd4f2a572b2e1514a787c52f1572fb10637647f98a31e30,retained_latest_unique,
src/03_hydroclimate/gee/export_w90_era5land_drivers.js,"Google Earth Engine export of wettest-90d-aligned ERA5-Land temperature, VPD, soil-moisture, ET and net-shortwave drivers from precomputed per-pixel startDOY assets",GEE pasted source: Wettest-90d aligned ERA5-Land drivers using precomputed startDOY,ea9041bfaab87f45e64e175180ab320638ec5b1edb2808ccdb9aebd282cd500b,ea9041bfaab87f45e64e175180ab320638ec5b1edb2808ccdb9aebd282cd500b,retained_latest_unique,
src/04_sem/fit_sem_hydroclimate_structure.py,SEM mechanism-validation branch with VPD_resid,sem_attribution_with_co2_v10_vpdresid(1).py,5b6066815c45688b74c8d3eb7e1b2a5f060c194811a4ae8332e99389beaf00d2,e9eb8d3743a2dc56eaebdeb60db26f5f938b2c07295f76ecfedbc4c1c6a21e3f,renamed_latest_unique,
src/04_sem/run_sem_structure_sensitivity.py,SEM sensitivity/toggle branch with explicit Tmean and SWnet-direct controls,sem_attribution_with_co2_v10_1a_vpdresid_fixYearFE.py,af6f15db622b4b5d52e4a170e6f9a881c01736e180817677b5eca15db16cc943,5924a98701d0f47e56afa23226b20206033642ddcb19378e6d9ba4690f1ac1cb,renamed_latest_unique,
src/05_attribution/diagnostics/run_temporal_identifiability_diagnostics.py,"Temporal identifiability diagnostics with VPD_resid, year FE, CO2 projection and linear-time replacement",nat0_nat1_nat2_yearfe_diagnostics_v3_vpd_resid_with_time.py,4dbb4bdaa27ae41dcd07bc54c7fdd341386043a1c8af27a28b0bbce00074518a,4dbb4bdaa27ae41dcd07bc54c7fdd341386043a1c8af27a28b0bbce00074518a,renamed_latest_unique,
src/05_attribution/diagnostics/run_vif_diagnostics.py,VIF diagnostics for pooled and entity-demeaned panel predictors,vif_diagnostics_for_panel_attribution_configured.py,6a34d492d94e90338a17c305f9bd44b4a8eabf72742507d5010562e9e3308515,795b6c5d9b383c6975153e8d34fe32e6243c26cbcd06bc3db25d9296670ce3da,renamed_latest_unique,
src/05_attribution/run_panel_attribution.py,Hex-FE logit trend-budget attribution using VPD_resid and XCO2 panel,trend_total_new_vpd_resid.py,441500ad7e5c58fffcd572ceab453d03d86bc025f9c77a9afba7d802d018c385,2cedbbd2ff035332e35e2625cce3cefcb2062ad2d6e6f6cae638d4ee7b09527b,retained_latest_unique,
